0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,7,2,383,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,7,2,383,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,4,1,384,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,4,1,384,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,2,1,384,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0008329851197586002,99.99916701488024,22,383,96,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0008329851197586002,99.99916701488024,22,383,96,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
9.217442175080137e-05,99.99990782557825,19,363,112,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,4,0,385,0,50,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,4,0,385,0,50,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,2,0,385,0,50,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,2,0,385,0,37,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
9.217442175080137e-05,99.99990782557825,15,363,112,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
6.661338147750939e-14,99.99999999999993,1,170,265,1,20,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,80,345,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,54,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,54,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,54,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,2,384,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,2,384,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0.0,100.0,0,2,384,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
